Temperature,Target_Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
50750,0,3980,3207,622,0,0
50750,0,3980,3207,883,0,0
50516,0,3981,3208,1144,0,0
51440,0,3977,3204,1405,0,0
50281,0,3982,3208,1666,0,0
49806,0,3984,3210,1927,0,0
50281,0,3982,3208,2188,0,0
50981,0,3979,3206,2449,0,0
50516,0,3981,3208,2710,0,0
50750,0,3980,3207,2971,0,0
50750,0,3980,3207,3232,0,0
50516,0,3981,3208,3493,0,0
51212,0,3978,3205,3754,0,0
51212,0,3978,3205,4015,0,0
51212,0,3978,3205,4276,0,0
51212,0,3978,3205,4537,0,0
50981,0,3979,3206,4798,0,0
50516,100,3981,3208,5059,1,1
50044,100,3983,3209,5321,1,1
50516,100,3981,3208,5582,1,1
50516,100,3981,3208,5843,1,1
50516,100,3981,3208,6104,1,1
49566,100,3985,3211,6365,1,1
50516,100,3981,3208,6626,1,1
51212,100,3978,3205,6887,1,1
50281,100,3982,3208,7148,1,1
50516,100,3981,3208,7409,1,1
50281,100,3982,3208,7670,1,1
57478,100,3948,3181,7931,1,1
51667,100,3976,3204,8192,1,1
50981,100,3979,3206,8453,1,1
51440,100,3977,3204,8714,1,1
50981,100,3979,3206,8975,1,1
50750,100,3980,3207,9236,1,1
51212,100,3978,3205,9497,1,1
50981,100,3979,3206,9758,1,1
51212,100,3978,3205,10019,1,1
51212,100,3978,3205,10281,2,1
51440,100,3977,3204,10543,2,1
51212,100,3978,3205,10805,2,1
51893,100,3975,3203,11067,2,1
51893,100,3975,3203,11329,2,1
50281,100,3982,3208,11591,2,1
51212,100,3978,3205,11853,2,1
50981,100,3979,3206,12115,2,1
50750,100,3980,3207,12377,2,1
50516,100,3981,3208,12639,2,1
52339,100,3973,3201,12901,2,1
51212,100,3978,3205,13163,2,1
50281,100,3982,3208,13425,2,1
50516,100,3981,3208,13687,2,1
50750,100,3980,3207,13949,2,1
50981,100,3979,3206,14211,2,1
51440,100,3977,3204,14473,2,1
51440,100,3977,3204,14735,2,1
50981,100,3979,3206,14997,2,1
51212,100,3978,3205,15259,2,1
51667,100,3976,3204,15521,2,1
52117,100,3974,3202,15783,2,1
51440,100,3977,3204,16045,2,1
51893,100,3975,3203,16307,2,1
51212,100,3978,3205,16569,2,1
51440,100,3977,3204,16831,2,1
51893,100,3975,3203,17093,2,1
51667,100,3976,3204,17355,2,1
52117,100,3974,3202,17617,2,1
51212,100,3978,3205,17879,2,1
51893,100,3975,3203,18141,2,1
51212,100,3978,3205,18403,2,1
51893,100,3975,3203,18665,2,1
51667,100,3976,3204,18927,2,1
51893,100,3975,3203,19189,2,1
51667,100,3976,3204,19451,2,1
51212,100,3978,3205,19713,2,1
51440,100,3977,3204,19975,2,1
51440,100,3977,3204,20237,2,1
51212,100,3978,3205,20499,2,1
51212,100,3978,3205,20761,2,1
51440,100,3977,3204,21023,2,1
51893,100,3975,3203,21285,2,1
51667,100,3976,3204,21547,2,1
51440,100,3977,3204,21809,2,1
51893,100,3975,3203,22071,2,1
51440,100,3977,3204,22333,2,1
51893,100,3975,3203,22595,2,1
51667,100,3976,3204,22857,2,1
52998,100,3970,3199,23119,2,1
52117,100,3974,3202,23381,2,1
51893,100,3975,3203,23643,2,1
50516,100,3981,3208,23905,2,1
52117,100,3974,3202,24167,2,1
52117,100,3974,3202,24429,2,1
51667,100,3976,3204,24691,2,1
51893,100,3975,3203,24953,2,1
51440,100,3977,3204,25215,2,1
51440,100,3977,3204,25477,2,1
50981,100,3979,3206,25739,2,1
52117,100,3974,3202,26001,2,1
51893,100,3975,3203,26263,2,1
51667,100,3976,3204,26525,2,1
51893,100,3975,3203,26787,2,1
52339,100,3973,3201,27049,2,1
52339,100,3973,3201,27311,2,1
51667,100,3976,3204,27573,2,1
52780,100,3971,3200,27835,2,1
50750,100,3980,3207,28097,2,1
52780,100,3971,3200,28359,2,1
51440,100,3977,3204,28621,2,1
52560,100,3972,3200,28883,2,1
52780,100,3971,3200,29145,2,1
51893,100,3975,3203,29407,2,1
51440,100,3977,3204,29669,2,1
51893,100,3975,3203,29931,2,1
51667,100,3976,3204,30193,2,1
49566,100,3985,3211,30455,2,1
52117,100,3974,3202,30717,2,1
52998,100,3970,3199,30979,2,1
51893,100,3975,3203,31241,2,1
52339,100,3973,3201,31503,2,1
51893,100,3975,3203,31765,2,1
51667,100,3976,3204,32027,2,1
51893,100,3975,3203,32289,2,1
52560,100,3972,3200,32551,2,1
52998,100,3970,3199,32813,2,1
52339,100,3973,3201,33075,2,1
52339,100,3973,3201,33337,2,1
52117,100,3974,3202,33599,2,1
52560,100,3972,3200,33861,2,1
51667,100,3976,3204,34123,2,1
52780,100,3971,3200,34385,2,1
52780,100,3971,3200,34647,2,1
52560,100,3972,3200,34909,2,1
52339,100,3973,3201,35171,2,1
52339,100,3973,3201,35433,2,1
52117,100,3974,3202,35695,2,1
51440,100,3977,3204,35957,2,1
52780,100,3971,3200,36219,2,1
52117,100,3974,3202,36481,2,1
52560,100,3972,3200,36743,2,1
51667,100,3976,3204,37005,2,1
52117,100,3974,3202,37267,2,1
52339,100,3973,3201,37529,2,1
52560,100,3972,3200,37791,2,1
52780,100,3971,3200,38053,2,1
52339,100,3973,3201,38315,2,1
52339,100,3973,3201,38577,2,1
52780,100,3971,3200,38839,2,1
52560,100,3972,3200,39101,2,1
50981,100,3979,3206,39363,2,1
52339,100,3973,3201,39625,2,1
52780,100,3971,3200,39887,2,1
52998,100,3970,3199,40149,2,1
53644,100,3967,3196,40411,2,1
52117,100,3974,3202,40673,2,1
52560,100,3972,3200,40935,2,1
52560,100,3972,3200,41197,2,1
52560,100,3972,3200,41459,2,1
52780,100,3971,3200,41721,2,1
52560,100,3972,3200,41983,2,1
52560,100,3972,3200,42245,2,1
52560,100,3972,3200,42507,2,1
53644,100,3967,3196,42769,2,1
53215,100,3969,3198,43031,2,1
53215,100,3969,3198,43293,2,1
52780,100,3971,3200,43555,2,1
52780,100,3971,3200,43817,2,1
51893,100,3975,3203,44079,2,1
53644,100,3967,3196,44341,2,1
52780,100,3971,3200,44603,2,1
54695,100,3962,3192,44865,2,1
52998,100,3970,3199,45127,2,1
52998,100,3970,3199,45389,2,1
53215,100,3969,3198,45651,2,1
53644,100,3967,3196,45913,2,1
53644,100,3967,3196,46175,2,1
53215,100,3969,3198,46437,2,1
54278,100,3964,3194,46699,2,1
53215,100,3969,3198,46961,2,1
53857,100,3966,3196,47223,2,1
54068,100,3965,3195,47485,2,1
53644,100,3967,3196,47747,2,1
53430,100,3968,3197,48009,2,1
53857,100,3966,3196,48271,2,1
53857,100,3966,3196,48533,2,1
54068,100,3965,3195,48795,2,1
53644,100,3967,3196,49057,2,1
54487,100,3963,3193,49319,2,1
53857,100,3966,3196,49581,2,1
54695,100,3962,3192,49843,2,1
54068,100,3965,3195,50105,2,1
54695,100,3962,3192,50367,2,1
54695,100,3962,3192,50629,2,1
54068,100,3965,3195,50891,2,1
