Temperature,Target_Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
41987,100,4013,3233,82069,2,1
49080,100,3987,3212,82331,2,1
42594,100,4011,3232,82593,2,1
42892,100,4010,3231,82855,2,1
42594,100,4011,3232,83117,2,1
42892,100,4010,3231,83379,2,1
42594,100,4011,3232,83641,2,1
42594,100,4011,3232,83903,2,1
43188,100,4009,3230,84165,2,1
42594,100,4011,3232,84427,2,1
42892,100,4010,3231,84689,2,1
42594,100,4011,3232,84951,2,1
39098,100,4022,3241,85213,2,1
43188,100,4009,3230,85475,2,1
42594,100,4011,3232,85737,2,1
42594,100,4011,3232,85999,2,1
42594,100,4011,3232,86261,2,1
42594,100,4011,3232,86523,2,1
42594,100,4011,3232,86785,2,1
42594,100,4011,3232,87047,2,1
42594,100,4011,3232,87309,2,1
43481,100,4008,3229,87571,2,1
42292,100,4012,3233,87833,2,1
41054,100,4016,3236,88095,2,1
