Temperature,Target_Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
41987,100,4013,3233,6887,1,1
41987,100,4013,3233,7148,1,1
42892,100,4010,3231,7409,1,1
42292,100,4012,3233,7670,1,1
41679,100,4014,3234,7931,1,1
41987,100,4013,3233,8192,1,1
41369,100,4015,3235,8453,1,1
41369,100,4015,3235,8714,1,1
41987,100,4013,3233,8975,1,1
42292,100,4012,3233,9236,1,1
41987,100,4013,3233,9497,1,1
42594,100,4011,3232,9758,1,1
41987,100,4013,3233,10019,1,1
42594,100,4011,3232,10281,2,1
41054,100,4016,3236,10543,2,1
41987,100,4013,3233,10805,2,1
41987,100,4013,3233,11067,2,1
41679,100,4014,3234,11329,2,1
42292,100,4012,3233,11591,2,1
42292,100,4012,3233,11853,2,1
41987,100,4013,3233,12115,2,1
42594,100,4011,3232,12377,2,1
42292,100,4012,3233,12639,2,1
41679,100,4014,3234,12901,2,1
41987,100,4013,3233,13163,2,1
42594,100,4011,3232,13425,2,1
41054,100,4016,3236,13687,2,1
41987,100,4013,3233,13949,2,1
39764,100,4020,3239,14211,2,1
42892,100,4010,3231,14473,2,1
41987,100,4013,3233,14735,2,1
42292,100,4012,3233,14997,2,1
41679,100,4014,3234,15259,2,1
41679,100,4014,3234,15521,2,1
42292,100,4012,3233,15783,2,1
42594,100,4011,3232,16045,2,1
41987,100,4013,3233,16307,2,1
41987,100,4013,3233,16569,2,1
42292,100,4012,3233,16831,2,1
41679,100,4014,3234,17093,2,1
41987,100,4013,3233,17355,2,1
41679,100,4014,3234,17617,2,1
41679,100,4014,3234,17879,2,1
41987,100,4013,3233,18141,2,1
42594,100,4011,3232,18403,2,1
41679,100,4014,3234,18665,2,1
41987,100,4013,3233,18927,2,1
41679,100,4014,3234,19189,2,1
41987,100,4013,3233,19451,2,1
41369,100,4015,3235,19713,2,1
40737,100,4017,3237,19975,2,1
42594,100,4011,3232,20237,2,1
41679,100,4014,3234,20499,2,1
41987,100,4013,3233,20761,2,1
41987,100,4013,3233,21023,2,1
40737,100,4017,3237,21285,2,1
41679,100,4014,3234,21547,2,1
42594,100,4011,3232,21809,2,1
41679,100,4014,3234,22071,2,1
41679,100,4014,3234,22333,2,1
41679,100,4014,3234,22595,2,1
41987,100,4013,3233,22857,2,1
42594,100,4011,3232,23119,2,1
42292,100,4012,3233,23381,2,1
41987,100,4013,3233,23643,2,1
41987,100,4013,3233,23905,2,1
41054,100,4016,3236,24167,2,1
42292,100,4012,3233,24429,2,1
41679,100,4014,3234,24691,2,1
41679,100,4014,3234,24953,2,1
41987,100,4013,3233,25215,2,1
42594,100,4011,3232,25477,2,1
42594,100,4011,3232,25739,2,1
42292,100,4012,3233,26001,2,1
41987,100,4013,3233,26263,2,1
41369,100,4015,3235,26525,2,1
41369,100,4015,3235,26787,2,1
42594,100,4011,3232,27049,2,1
42292,100,4012,3233,27311,2,1
41987,100,4013,3233,27573,2,1
41679,100,4014,3234,27835,2,1
50516,100,3981,3208,28097,2,1
42292,100,4012,3233,28359,2,1
41987,100,4013,3233,28621,2,1
42594,100,4011,3232,28883,2,1
42292,100,4012,3233,29145,2,1
42292,100,4012,3233,29407,2,1
42892,100,4010,3231,29669,2,1
42594,100,4011,3232,29931,2,1
41369,100,4015,3235,30193,2,1
41987,100,4013,3233,30455,2,1
41054,100,4016,3236,30717,2,1
42594,100,4011,3232,30979,2,1
41987,100,4013,3233,31241,2,1
41679,100,4014,3234,31503,2,1
41987,100,4013,3233,31765,2,1
42292,100,4012,3233,32027,2,1
42292,100,4012,3233,32289,2,1
40416,100,4018,3237,32551,2,1
44344,100,4005,3227,32813,2,1
44344,100,4005,3227,33075,2,1
42292,100,4012,3233,33337,2,1
41679,100,4014,3234,33599,2,1
41679,100,4014,3234,33861,2,1
40737,100,4017,3237,34123,2,1
41987,100,4013,3233,34385,2,1
42594,100,4011,3232,34647,2,1
41679,100,4014,3234,34909,2,1
42594,100,4011,3232,35171,2,1
41679,100,4014,3234,35433,2,1
40737,100,4017,3237,35695,2,1
42292,100,4012,3233,35957,2,1
41987,100,4013,3233,36219,2,1
