Temperature,Target_Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
42292,100,4012,3233,21809,2,1
42594,100,4011,3232,22071,2,1
42292,100,4012,3233,22333,2,1
41987,100,4013,3233,22595,2,1
41987,100,4013,3233,22857,2,1
43188,100,4009,3230,23119,2,1
42892,100,4010,3231,23381,2,1
41987,100,4013,3233,23643,2,1
43188,100,4009,3230,23905,2,1
41679,100,4014,3234,24167,2,1
42594,100,4011,3232,24429,2,1
43188,100,4009,3230,24691,2,1
42892,100,4010,3231,24953,2,1
42892,100,4010,3231,25215,2,1
42594,100,4011,3232,25477,2,1
43188,100,4009,3230,25739,2,1
42594,100,4011,3232,26001,2,1
42292,100,4012,3233,26263,2,1
41369,100,4015,3235,26525,2,1
41369,100,4015,3235,26787,2,1
43188,100,4009,3230,27049,2,1
42594,100,4011,3232,27311,2,1
42892,100,4010,3231,27573,2,1
42892,100,4010,3231,27835,2,1
42292,100,4012,3233,28097,2,1
41987,100,4013,3233,28359,2,1
42594,100,4011,3232,28621,2,1
41987,100,4013,3233,28883,2,1
42594,100,4011,3232,29145,2,1
43188,100,4009,3230,29407,2,1
43188,100,4009,3230,29669,2,1
42292,100,4012,3233,29931,2,1
42594,100,4011,3232,30193,2,1
42292,100,4012,3233,30455,2,1
42594,100,4011,3232,30717,2,1
43188,100,4009,3230,30979,2,1
42594,100,4011,3232,31241,2,1
42594,100,4011,3232,31503,2,1
42594,100,4011,3232,31765,2,1
41679,100,4014,3234,32027,2,1
42594,100,4011,3232,32289,2,1
42594,100,4011,3232,32551,2,1
42892,100,4010,3231,32813,2,1
41987,100,4013,3233,33075,2,1
43188,100,4009,3230,33337,2,1
42292,100,4012,3233,33599,2,1
44344,100,4005,3227,33861,2,1
43188,100,4009,3230,34123,2,1
42892,100,4010,3231,34385,2,1
41987,100,4013,3233,34647,2,1
42594,100,4011,3232,34909,2,1
41987,100,4013,3233,35171,2,1
41987,100,4013,3233,35433,2,1
42594,100,4011,3232,35695,2,1
43772,100,4007,3229,35957,2,1
42892,100,4010,3231,36219,2,1
43188,100,4009,3230,36481,2,1
42594,100,4011,3232,36743,2,1
41987,100,4013,3233,37005,2,1
43481,100,4008,3229,37267,2,1
42892,100,4010,3231,37529,2,1
41987,100,4013,3233,37791,2,1
42892,100,4010,3231,38053,2,1
42594,100,4011,3232,38315,2,1
42594,100,4011,3232,38577,2,1
42892,100,4010,3231,38839,2,1
43188,100,4009,3230,39101,2,1
43481,100,4008,3229,39363,2,1
42292,100,4012,3233,39625,2,1
42292,100,4012,3233,39887,2,1
42594,100,4011,3232,40149,2,1
43188,100,4009,3230,40411,2,1
43188,100,4009,3230,40673,2,1
41987,100,4013,3233,40935,2,1
42892,100,4010,3231,41197,2,1
42292,100,4012,3233,41459,2,1
41987,100,4013,3233,41721,2,1
42594,100,4011,3232,41983,2,1
42892,100,4010,3231,42245,2,1
41679,100,4014,3234,42507,2,1
40737,100,4017,3237,42769,2,1
41679,100,4014,3234,43031,2,1
42892,100,4010,3231,43293,2,1
42892,100,4010,3231,43555,2,1
41987,100,4013,3233,43817,2,1
40737,100,4017,3237,44079,2,1
41987,100,4013,3233,44341,2,1
42292,100,4012,3233,44603,2,1
42594,100,4011,3232,44865,2,1
42292,100,4012,3233,45127,2,1
42594,100,4011,3232,45389,2,1
42892,100,4010,3231,45651,2,1
41679,100,4014,3234,45913,2,1
43188,100,4009,3230,46175,2,1
42594,100,4011,3232,46437,2,1
42892,100,4010,3231,46699,2,1
42594,100,4011,3232,46961,2,1
42292,100,4012,3233,47223,2,1
41987,100,4013,3233,47485,2,1
43481,100,4008,3229,47747,2,1
42594,100,4011,3232,48009,2,1
42292,100,4012,3233,48271,2,1
41987,100,4013,3233,48533,2,1
42292,100,4012,3233,48795,2,1
42892,100,4010,3231,49057,2,1
42892,100,4010,3231,49319,2,1
42594,100,4011,3232,49581,2,1
43188,100,4009,3230,49843,2,1
42594,100,4011,3232,50105,2,1
46270,100,3998,3221,50367,2,1
