Temperature,Target_Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
52998,0,3970,3199,1023287,10,0
52117,0,3974,3202,1023549,10,0
53430,0,3968,3197,1023811,10,0
52339,0,3973,3201,1024073,10,0
52339,0,3973,3201,1024335,10,0
52998,0,3970,3199,1024597,10,0
52998,0,3970,3199,1024859,10,0
52998,0,3970,3199,1025121,10,0
52560,0,3972,3200,1025383,10,0
52780,0,3971,3200,1025645,10,0
52780,0,3971,3200,1025907,10,0
52780,0,3971,3200,1026169,10,0
52560,0,3972,3200,1026431,10,0
52560,0,3972,3200,1026693,10,0
52780,0,3971,3200,1026955,10,0
52780,0,3971,3200,1027217,10,0
52560,0,3972,3200,1027479,10,0
52998,0,3970,3199,1027741,10,0
